time_bucket,gfr_lo,gfr_hi,dow,gap_bucket,avg_yes_price,std_yes_price,n_obs,note
14:00,-99.0,-0.5,ALL,ALL,0.5276,0.2681,275,OK
14:00,-99.0,-0.5,Mon,ALL,0.5028,0.2667,72,OK
14:00,-99.0,-0.5,Tue,ALL,0.5241,0.3078,62,OK
14:00,-99.0,-0.5,Wed,ALL,0.5371,0.2364,40,OK
14:00,-99.0,-0.5,Thu,ALL,0.5706,0.2435,59,OK
14:00,-99.0,-0.5,Fri,ALL,0.5058,0.2736,42,OK
14:00,-99.0,-0.5,ALL,small,0.5163,0.2641,250,OK
14:00,-99.0,-0.5,ALL,large,0.6409,0.2869,25,OK
14:00,-0.5,-0.2,ALL,ALL,0.6788,0.3125,77,OK
14:00,-0.5,-0.2,Mon,ALL,0.5948,0.3552,15,OK
14:00,-0.5,-0.2,Tue,ALL,0.78,0.2735,17,OK
14:00,-0.5,-0.2,Wed,ALL,0.6365,0.4794,6,OK
14:00,-0.5,-0.2,Thu,ALL,0.6427,0.286,16,OK
14:00,-0.5,-0.2,Fri,ALL,0.6948,0.2831,23,OK
14:00,-0.5,-0.2,ALL,small,0.6799,0.2682,54,OK
14:00,-0.5,-0.2,ALL,large,0.6762,0.405,23,OK
14:00,-0.2,0.1,ALL,ALL,0.7929,0.3142,83,OK
14:00,-0.2,0.1,Mon,ALL,0.768,0.3114,11,OK
14:00,-0.2,0.1,Tue,ALL,0.7319,0.4671,4,LOW_OBS
14:00,-0.2,0.1,Wed,ALL,0.8363,0.2731,12,OK
14:00,-0.2,0.1,Thu,ALL,0.772,0.329,39,OK
14:00,-0.2,0.1,Fri,ALL,0.8408,0.2995,17,OK
14:00,-0.2,0.1,ALL,small,0.7692,0.328,73,OK
14:00,-0.2,0.1,ALL,large,0.966,0.0304,10,OK
14:00,0.1,0.4,ALL,ALL,0.7153,0.4019,52,OK
14:00,0.1,0.4,Mon,ALL,0.6572,0.4175,12,OK
14:00,0.1,0.4,Tue,ALL,0.9557,0.1019,8,OK
14:00,0.1,0.4,Wed,ALL,0.7767,0.3453,7,OK
14:00,0.1,0.4,Thu,ALL,0.6536,0.4537,22,OK
14:00,0.1,0.4,Fri,ALL,0.6153,0.5324,3,LOW_OBS
14:00,0.1,0.4,ALL,small,0.7384,0.3816,45,OK
14:00,0.1,0.4,ALL,large,0.5669,0.5246,7,LOW_OBS
14:00,0.4,0.7,ALL,ALL,0.5894,0.4467,22,OK
